Year,RIR,GDP_Growth_Rate,Inflation
1/1/1976,-3.167914566,13.27968944,10.31741589
1/1/1977,-3.119680241,9.003044267,12.73216279
1/1/1978,0.565092118,8.628767646,11.07810038
1/1/1979,-9.311642226,4.547689628,9.904360512
1/1/1980,0.802685989,10.01132904,20.81922493
1/1/1981,17.58479047,7.348553897,10.31728422
1/1/1982,-7.801484773,9.907171134,14.82300885
1/1/1983,2.030075188,5.09440684,16.07987388
1/1/1984,6.238065866,9.745762712,17.03636638
1/1/1985,3.068721728,5.791505792,12.10675606
1/1/1986,1.88245858,4.744525547,23.86428982
1/1/1987,3.435567132,3.832752613,19.69359331
1/1/1988,3.158634199,5.461320498,17.66348615
1/1/1989,-0.674911054,4.920868605,21.26186709
1/1/1990,1.067535293,5.667029151,16.75637471
1/1/1991,3.204638795,1.125404595,19.74854482
1/1/1992,1.670924895,4.472859189,13.63742417
1/1/1993,9.101241377,2.900790794,12.08979229
1/1/1994,7.435419406,3.973172185,8.154231286
1/1/1995,4.552157629,4.64245877,15.7422305
1/1/1996,7.913220493,4.98873057,7.187103697
1/1/1997,3.563452755,5.49235474,4.625605788
1/1/1998,10.39189892,5.575497461,3.872575464
1/1/1999,11.9358224,6.053438783,3.079499126
1/1/2000,8.919600979,6.370003834,2.683805353
1/1/2001,11.21451337,3.535251969,2.269757205
1/1/2002,10.30003195,2.390204028,2.73723855
1/1/2003,6.32702595,3.193454739,4.507776363
1/1/2004,1.52690343,4.092071612,11.27061933
1/1/2005,6.523640989,4.471744469,4.869396969
1/1/2006,4.880796721,6.843838197,7.644526445
1/1/2007,-0.077628594,7.087827427,9.318969058
1/1/2008,0.107853152,7.156283564,18.31683168
1/1/2009,0.710036321,4.6735998,11.76349544
1/1/2010,0.818721619,5.147234859,11.26518827
1/1/2011,-0.563878053,1.764571949,10.06492599
1/1/2012,-6.262719504,2.226199797,7.111729433
1/1/2013,3.292157154,2.185466055,9.469719811
1/1/2014,0.414129138,2.915911879,10.07021547
1/1/2015,1.541068462,4.372019079,10.37049034
1/1/2016,6.922011353,4.346643453,13.81360621
1/1/2017,-3.870052374,4.181221001,29.50660839
1/1/2018,-2.560862968,5.314121037,14.40146578
1/1/2019,2.191233439,5.557683888,9.372
