Year,DiscountRate,GDP_Growth_Rate,Inflation,RIR
1/1/1976,9,10.46117956,17.45568939,-8.455689389
1/1/1977,9,3.406669804,25.98533787,-16.98533787
1/1/1978,9.75,1.502933011,61.89704444,-52.14704444
1/1/1979,10.5,-0.62411357,63.54310825,-53.04310825
1/1/1980,19.45833333,-2.447350426,94.26085988,-74.80252655
1/1/1981,30.72916667,4.856648767,37.61478258,-6.885615913
1/1/1982,31.5,3.563227812,29.1375145,2.362485498
1/1/1983,31.45833333,4.971080777,31.39027102,0.068062313
1/1/1984,50.83333333,6.712015712,48.39232313,2.441010199
1/1/1985,52,4.241335716,44.96173015,7.038269847
1/1/1986,51.33333333,7.012031111,34.61007597,16.72325736
1/1/1987,45,9.485538842,38.85584348,6.144156524
1/1/1988,53.25,2.320736794,68.80964338,-15.55964338
1/1/1989,54,0.290244069,63.27255249,-9.272552493
1/1/1990,41.33333333,9.266146671,60.30386913,-18.9705358
1/1/1991,47.75,0.720279036,65.97856799,-18.22856799
1/1/1992,48,5.035634939,70.07610387,-22.07610387
1/1/1993,48,7.651265203,66.09384298,-18.09384298
1/1/1994,63.25,-4.668147364,105.2149865,-41.96498647
1/1/1995,52.41666667,7.878266876,89.11331722,-36.69665056
1/1/1996,50,7.379664474,80.41215114,-30.41215114
1/1/1997,58.5,7.577663644,85.66936165,-27.16936165
1/1/1998,67,2.308213464,84.64134348,-17.64134348
1/1/1999,66.41666667,-3.389304879,64.86748764,1.549179032
1/1/2000,60,6.640061122,54.91537058,5.084629419
1/1/2001,60,-5.962310758,54.40018876,5.599811238
1/1/2002,56.66666667,6.430278635,44.96412095,11.70254572
1/1/2003,50.33333333,5.608255093,21.60243845,28.73089488
1/1/2004,40.08333333,9.644322582,8.598261681,31.48507165
1/1/2005,28.91666667,9.009853311,8.179160368,20.7375063
1/1/2006,23.33333333,7.109703431,9.597242123,13.73609121
1/1/2007,26.83333333,5.030457589,8.75618091,18.07715242
1/1/2008,25,0.845251452,10.44412838,14.55587162
1/1/2009,19.66666667,-4.704465917,6.250976631,13.41569004
1/1/2010,14.91666667,8.487372187,8.566444206,6.350222461
1/1/2011,14.25,11.11349555,6.471879671,7.778120329
1/1/2012,16.20833333,4.789940207,8.891569965,7.316763368
1/1/2013,11.22916667,8.491309393,7.493090305,3.736076361
1/1/2014,10.14583333,5.166690703,8.854572714,1.29126062
1/1/2015,9,6.085886632,7.670853648,1.329146352
1/1/2016,8.979166667,3.183831543,7.775134153,1.204032513
1/1/2017,8.75,7.470866893,11.14431108,-2.394311084
1/1/2018,14.4375,2.826776118,16.3324639,-1.894963899
1/1/2019,17.8125,0.877433458,15.17682157,2.635678428
,.,,,
